calendar_start_date,iso_year,iso_week,dengue_total,tmin,tmax,rh
2016-07-10,2016,27,653.0,24.62571443830217,29.91571453639439,71.3828571428571
2016-07-17,2016,28,695.0,24.567143031529017,30.98857143947057,68.0014285714286
2016-07-24,2016,29,607.0,24.575714111328125,31.00999995640346,67.1385714285714
2016-07-31,2016,30,548.0,24.575714111328125,31.26714243207659,60.5357142857143
2016-08-07,2016,31,432.0,24.09428569248744,31.40714318411691,61.02
2016-08-14,2016,32,472.0,24.38714272635324,30.86142866952079,66.8185714285714
2016-08-21,2016,33,379.0,24.45285715375628,30.33857127598354,69.1128571428571
2016-08-28,2016,34,241.0,24.644285474504745,31.00142860412598,66.5
2016-09-04,2016,35,219.0,24.4514285496303,31.06000001089913,66.6371428571429
2016-09-11,2016,36,241.0,24.38428551810128,31.43714305332729,64.0957142857143
2016-09-18,2016,37,265.0,24.685714176722932,30.68142863682338,70.2028571428571
2016-09-25,2016,38,219.0,24.76857158115932,30.39428574698312,70.2371428571429
2016-10-02,2016,39,218.0,25.048571450369696,30.19857134137835,69.3728571428571
2016-10-09,2016,40,160.0,24.978571483067103,31.01571410042899,69.4957142857143
2016-10-16,2016,41,150.0,25.041428429739817,31.28857176644462,66.4414285714286
2016-10-23,2016,42,152.0,25.128571374075754,31.05142865862165,70.16
2016-10-30,2016,43,175.0,25.26714297703334,30.81428555079869,70.0
2016-11-06,2016,44,196.0,25.39857155936105,31.5271429334368,67.6242857142857
2016-11-13,2016,45,211.0,25.421428407941544,30.80285699026925,71.6285714285714
2016-11-20,2016,46,175.0,25.184285845075333,30.33571406773158,73.9271428571429
2016-11-27,2016,47,202.0,25.51714297703334,30.92857142857143,70.7957142857143
2016-12-04,2016,48,202.0,25.78571401323591,31.18857138497489,69.9542857142857
2016-12-11,2016,49,168.0,25.762857164655408,31.22142846243722,71.4685714285714
2016-12-18,2016,50,115.0,25.73714283534459,30.38571466718401,71.9642857142857
2016-12-25,2016,51,74.0,25.28000014168876,30.3257143838065,75.4942857142857
2017-01-01,2016,52,213.0,25.38777796427409,30.14666663275825,76.8511111111111
2017-01-08,2017,1,240.0,25.42500042915344,30.15375018119812,76.895
2017-01-15,2017,2,390.0,24.895714351109092,29.2257148197719,78.13
2017-01-22,2017,3,422.0,25.0699999673026,29.30714307512556,78.9614285714286
2017-01-29,2017,4,560.0,25.03285734994071,29.15857151576451,81.53
2017-02-05,2017,5,665.0,25.227142606462753,29.33714294433594,80.37
2017-02-12,2017,6,852.0,25.34142848423549,29.52285712105887,80.93
2017-02-19,2017,7,636.0,24.78571401323591,28.65142849513463,83.1342857142857
2017-02-26,2017,8,646.0,24.448571613856725,28.57714298793248,84.2742857142857
